component_id	system_id	name	description
COMP_12232_B_GAMMA	SYS_12232_GRD	glycine reductase protein B, gamma subunit	Required substrate-specific subunit.
COMP_12232_C_ALPHA	SYS_12232_GRD	glycine reductase protein C, alpha subunit	Required subunit.
COMP_12232_C_BETA	SYS_12232_GRD	glycine reductase protein C, beta subunit	Required subunit.
COMP_12737_PRDA	SYS_12737_PRD	D-proline reductase PrdA	Required subunit.
COMP_12737_PRDB	SYS_12737_PRD	D-proline reductase PrdB	Required selenocysteine-containing subunit.
COMP_13101_CATALYTIC	SYS_13101_HUTU	urocanate hydratase protein	Required catalytic protein.
COMP_17785_CATALYTIC	SYS_17785_GAD	glutamate decarboxylase protein	Required catalytic protein.
COMP_19169_CATALYTIC	SYS_19169_SDAA	L-serine dehydratase protein	Required catalytic protein.
COMP_19553_CATALYTIC	SYS_19553_TNAA	tryptophanase protein	Required catalytic protein.
COMP_19597_CATALYTIC	SYS_19597_ARCA	arginine deiminase protein	Required catalytic protein.
COMP_21232_CATALYTIC	SYS_21232_HUTH	histidine ammonia-lyase protein	Required catalytic protein.
COMP_22108_CATALYTIC	SYS_22108_ILVA	threonine ammonia-lyase protein	Required catalytic protein.
COMP_22492_CATALYTIC	SYS_22492_HUTG	formimidoylglutamase protein	Required catalytic protein.
COMP_23660_CATALYTIC	SYS_23660_HUTI	imidazolonepropionase protein	Required catalytic protein.
COMP_23800_CATALYTIC	SYS_23800_MGL	methionine gamma-lyase protein	Required catalytic protein.
COMP_24931_CATALYTIC	SYS_24931_CDS	L-cysteine desulfidase protein	Required catalytic protein.
COMP_13245_CATALYTIC	SYS_13245_ICL	isocitrate lyase	Required catalytic protein.
COMP_18181_CATALYTIC	SYS_18181_MALS	malate synthase	Required catalytic protein.
COMP_21448_NIFH	SYS_21448_NIF	NifH nitrogenase iron protein	Required ATP-dependent electron-delivery component.
COMP_21448_NIFD	SYS_21448_NIF	NifD molybdenum-iron alpha chain	Required catalytic component.
COMP_21448_NIFK	SYS_21448_NIF	NifK molybdenum-iron beta chain	Required catalytic component.
COMP_21448_NIFB	SYS_21448_NIF	NifB cofactor precursor synthase	Required nitrogenase-specific cofactor assembly enzyme.
COMP_21448_NIFE	SYS_21448_NIF	NifE cofactor scaffold component	Required nitrogenase-specific cofactor assembly component.
COMP_21448_NIFN	SYS_21448_NIF	NifN cofactor scaffold component	Required nitrogenase-specific cofactor assembly component.
COMP_55543_VNFH	SYS_55543_VNF	VnfH vanadium nitrogenase iron protein	Required ATP-dependent electron-delivery component.
COMP_55543_VNFD	SYS_55543_VNF	VnfD vanadium nitrogenase alpha chain	Required catalytic component.
COMP_55543_VNFK	SYS_55543_VNF	VnfK vanadium nitrogenase beta chain	Required catalytic component.
COMP_55543_VNFG	SYS_55543_VNF	VnfG vanadium nitrogenase delta subunit	Required catalytic component specific to the alternative nitrogenase architecture.
COMP_55543_NIFB	SYS_55543_VNF	NifB cofactor precursor synthase	Required shared nitrogenase cofactor assembly enzyme.
COMP_55543_VNFE	SYS_55543_VNF	VnfE cofactor scaffold component	Required vanadium-cofactor assembly component.
COMP_55543_VNFN	SYS_55543_VNF	VnfN cofactor scaffold component	Required vanadium-cofactor assembly component.
COMP_18136_MET3	SYS_18136_MET3	sulfate adenylyltransferase	Required catalytic protein.
COMP_18136_CYSN	SYS_18136_CYSDN	CysN sulfurylase subunit	Required catalytic subunit.
COMP_18136_CYSD	SYS_18136_CYSDN	CysD sulfurylase subunit	Required catalytic subunit.
COMP_18136_CYSNC	SYS_18136_CYSD_CYSNC	CysNC sulfurylase-kinase fusion	Required sulfurylase subunit supplied by the fusion.
COMP_18136_CYSD_FUS	SYS_18136_CYSD_CYSNC	CysD sulfurylase subunit	Required partner of the sulfurylase domain in CysNC.
COMP_24152_CYSC	SYS_24152_CYSC	APS kinase	Required catalytic protein.
COMP_24152_CYSNC	SYS_24152_CYSNC	CysNC sulfurylase-kinase fusion	Required kinase domain supplied by the fusion.
COMP_11724_CYSH	SYS_11724_CYSH_PAPS	PAPS reductase	Required catalytic activity.
COMP_21976_CYSH	SYS_21976_CYSH_APS	APS reductase	Required catalytic activity.
COMP_13804_CYSJ	SYS_13804_CYSJI	CysJ sulfite-reductase flavoprotein	Required electron-transfer subunit.
COMP_13804_CYSI	SYS_13804_CYSJI	CysI sulfite-reductase hemoprotein	Required catalytic subunit.
COMP_23132_SIR	SYS_23132_SIR	ferredoxin sulfite reductase	Required catalytic protein.
COMP_11160_ECTB	SYS_11160_ECTB	EctB	Required catalytic protein.
COMP_16901_ECTA	SYS_16901_ECTA	EctA	Required catalytic protein.
COMP_17281_ECTC	SYS_17281_ECTC	EctC	Required catalytic protein.
COMP_19865_HEME	SYS_19865_HEME	HemE	Required catalytic protein.
COMP_18257_HEMF	SYS_18257_HEMF	HemF	Required catalytic protein.
COMP_15425_HEMN	SYS_15425_HEMN	HemN	Required catalytic protein.
COMP_25576_HEMY	SYS_25576_HEMY	HemY protoporphyrinogen oxidase	Required catalytic protein.
COMP_27409_HEMG	SYS_27409_HEMG	HemG	Required catalytic protein.
COMP_62000_HEMJ	SYS_62000_HEMJ	HemJ	Required catalytic protein.
COMP_22584_HEMH	SYS_22584_HEMH	HemH protoporphyrin ferrochelatase	Required catalytic protein.
COMP_43436_HEMY	SYS_43436_HEMY	HemY coproporphyrinogen oxidase	Required catalytic protein.
COMP_49572_HEMH	SYS_49572_HEMH	HemH coproporphyrin ferrochelatase	Required catalytic protein.
COMP_56516_HEMQ	SYS_56516_HEMQ	HemQ	Required catalytic protein.
COMP_11112_ENTB	SYS_11112_ENTB	EntB isochorismate lyase	Required catalytic protein; its aryl-carrier domain is separately required downstream.
COMP_23824_ENTA	SYS_23824_ENTA	EntA	Required catalytic protein.
COMP_30571_ENTB	SYS_30571_ENTBDEF	EntB aryl carrier	Required phosphopantetheinylated carrier component.
COMP_30571_ENTD	SYS_30571_ENTBDEF	EntD phosphopantetheinyl transferase	Required to activate the EntB and EntF carrier domains.
COMP_30571_ENTE	SYS_30571_ENTBDEF	EntE dihydroxybenzoate ligase	Required to load 2,3-dihydroxybenzoate onto holo-EntB.
COMP_30571_ENTF	SYS_30571_ENTBDEF	EntF nonribosomal peptide synthetase	Required for serine activation, condensation and trilactone cyclisation.
COMP_17433_BETA	SYS_17433_BETA	BetA	Required catalytic protein.
COMP_33051_GBSB	SYS_33051_GBSB	GbsB	Required catalytic protein.
COMP_17769_CMO	SYS_17769_CMO	choline monooxygenase	Required catalytic protein.
COMP_13505_CODA	SYS_13505_CODA	choline oxidase	Required catalytic protein.
COMP_20369_CODA	SYS_20369_CODA	choline oxidase	Required catalytic protein.
COMP_15305_BADH	SYS_15305_BADH	betaine-aldehyde dehydrogenase	Required catalytic protein.
COMP_24360_CYSG	SYS_24360_CYSG	multifunctional siroheme synthase CysG	Required catalytic protein.
COMP_24360_MET8	SYS_24360_MET8	precorrin-2 dehydrogenase and sirohydrochlorin ferrochelatase Met8	Required catalytic protein.
COMP_24360_SIRB	SYS_24360_SIRB	sirohydrochlorin ferrochelatase SirB	Required catalytic protein.
COMP_CHITINASE	SYS_CHITINASE	endochitinase protein	Required catalytic protein.
COMP_CHITOBIASE	SYS_CHITOBIASE	beta-N-acetylhexosaminidase protein	Required catalytic protein.
COMP_CHITIN_LPMO	SYS_CHITIN_LPMO	lytic polysaccharide monooxygenase protein	Required catalytic protein.
COMP_SIALIDASE	SYS_SIALIDASE	sialidase protein	Required catalytic protein.
COMP_FUCOSIDASE	SYS_FUCOSIDASE	alpha-L-fucosidase protein	Required catalytic protein.
COMP_GALNACASE	SYS_GALNACASE	alpha-N-acetylgalactosaminidase protein	Required catalytic protein.
COMP_ENDO_PG	SYS_ENDO_PG	endo-polygalacturonase protein	Required catalytic protein.
COMP_EXO_PG	SYS_EXO_PG	exo-polygalacturonase protein	Required catalytic protein.
COMP_PECTINESTERASE	SYS_PECTINESTERASE	pectinesterase protein	Required catalytic protein.
