reaction_id	rhea_master	name	description
RHEA:15469	RHEA:15469	phosphoribosylformimino-AICAR-phosphate isomerase reaction	Amadori rearrangement of the aminoimidazole carboxamide ribotide intermediate.
RHEA:15941	RHEA:15941	acetylornithine deacetylase reaction	Hydrolytic release of L-ornithine and acetate, the linear route ending of ornithine biosynthesis.
RHEA:16293	RHEA:16293	3-isopropylmalate dehydratase reaction, dehydration half	Dehydration of (2S)-2-isopropylmalate to 2-isopropylmaleate; the first half-reaction of the LeuCD isomerase.
RHEA:17325	RHEA:17325	tetrahydrodipicolinate N-succinyltransferase reaction	Succinylation of tetrahydrodipicolinate, opening the succinylated branch to diaminopimelate.
RHEA:18049	RHEA:18049	acetylornithine aminotransferase reaction	Transamination to N-acetyl-L-ornithine; run in the biosynthetic direction here.
RHEA:18321	RHEA:18321	branched-chain aminotransferase reaction (leucine)	Reversible transamination between L-leucine and 4-methyl-2-oxopentanoate; run in the biosynthetic direction here.
RHEA:18405	RHEA:18405	alanine dehydrogenase reaction	Reductive amination of pyruvate to L-alanine with ammonium; freely reversible and run catabolically in several Firmicutes.
RHEA:18473	RHEA:18473	ATP phosphoribosyltransferase reaction	Condensation of PRPP with ATP to phosphoribosyl-ATP; run in the biosynthetic direction here. The committed and feedback-regulated step of histidine biosynthesis.
RHEA:19045	RHEA:19045	citramalate synthase reaction	Condensation of pyruvate with acetyl-CoA to (3R)-citramalate, the committed step of the threonine-independent isoleucine route.
RHEA:19453	RHEA:19453	alanine transaminase reaction	Reversible transamination between L-alanine and pyruvate; run in the pyruvate-to-alanine direction for biosynthesis.
RHEA:19513	RHEA:19513	ornithine carbamoyltransferase reaction	Carbamoylation of L-ornithine to L-citrulline. Freely reversible: the biosynthetic direction builds citrulline, and the arginine deiminase pathway runs the same enzyme backwards to recover carbamoyl phosphate.
RHEA:19541	RHEA:19541	glutamate-5-semialdehyde dehydrogenase reaction	Reduction of L-glutamyl 5-phosphate to the 5-semialdehyde, which cyclises spontaneously to 1-pyrroline-5-carboxylate; run in the reductive direction for biosynthesis.
RHEA:20049	RHEA:20049	phosphoribosyl-AMP cyclohydrolase reaction	Ring opening of phosphoribosyl-AMP.
RHEA:20405	RHEA:20405	N-acetyldiaminopimelate deacetylase reaction	Hydrolytic removal of the acetyl group, releasing LL-diaminopimelate.
RHEA:21524	RHEA:21524	2-isopropylmalate synthase reaction	Condensation of 3-methyl-2-oxobutanoate with acetyl-CoA, the committed step of leucine biosynthesis.
RHEA:21540	RHEA:21540	phosphoribosylanthranilate isomerase reaction	Amadori rearrangement of phosphoribosylanthranilate.
RHEA:21588	RHEA:21588	N-acetyl-gamma-glutamyl-phosphate reductase reaction	Reduction to N-acetyl-L-glutamate 5-semialdehyde; run in the reductive direction for biosynthesis.
RHEA:21640	RHEA:21640	prephenate dehydrogenase reaction (NADP)	Oxidative decarboxylation of prephenate to 3-(4-hydroxyphenyl)pyruvate using NADP.
RHEA:21648	RHEA:21648	prephenate dehydratase reaction	Decarboxylative dehydration of prephenate to 3-phenylpyruvate.
RHEA:21732	RHEA:21732	anthranilate synthase reaction	Amination and aromatisation of chorismate to anthranilate using the amide nitrogen of L-glutamine. KEGG also lists an ammonia-dependent partial reaction for the same enzyme; as with the glutamine-dependent GMP synthase already curated, only the complete glutamine-dependent chemistry is used.
RHEA:21824	RHEA:21824	aspartate aminotransferase reaction	Reversible transamination between L-aspartate and oxaloacetate; run in the oxaloacetate-to-aspartate direction for biosynthesis.
RHEA:22068	RHEA:22068	ketol-acid reductoisomerase reaction (valine branch)	Isomerisation and NADPH-dependent reduction of (2S)-2-acetolactate to (2R)-2,3-dihydroxy-3-methylbutanoate; run in the reductive direction for biosynthesis.
RHEA:22332	RHEA:22332	2-methylmalate dehydratase reaction, dehydration half	Dehydration of (3R)-citramalate to 2-methylmaleate, catalysed by the isopropylmalate isomerase acting on the citramalate substrate.
RHEA:22608	RHEA:22608	succinyl-diaminopimelate desuccinylase reaction	Hydrolytic removal of the succinyl group, releasing LL-diaminopimelate.
RHEA:22828	RHEA:22828	phosphoribosyl-ATP pyrophosphohydrolase reaction	Hydrolysis of the pyrophosphate of phosphoribosyl-ATP.
RHEA:23476	RHEA:23476	indole-3-glycerol-phosphate synthase reaction	Ring closure to (1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate, which builds the indole ring.
RHEA:23744	RHEA:23744	histidinol-phosphate aminotransferase reaction	Transamination of imidazole acetol phosphate to L-histidinol phosphate; run in the biosynthetic direction here.
RHEA:23988	RHEA:23988	LL-diaminopimelate aminotransferase reaction	Single-step transamination of tetrahydrodipicolinate to LL-diaminopimelate, the plant and Chlamydia route.
RHEA:24020	RHEA:24020	argininosuccinate lyase reaction	Elimination of fumarate, releasing L-arginine.
RHEA:24292	RHEA:24292	amino-acid N-acetyltransferase reaction	Acetylation of L-glutamate, which protects the amino group through the ornithine branch.
RHEA:24793	RHEA:24793	imidazole glycerol-phosphate synthase reaction	Glutamine-dependent cyclisation to imidazole glycerol phosphate, releasing AICAR into purine metabolism. AICAR is not declared as an anchor: it is an internal participant of the purine GIFT and declaring it would create an edge nobody would read as biology.
RHEA:24801	RHEA:24801	branched-chain aminotransferase reaction (isoleucine)	Reversible transamination between L-isoleucine and (S)-3-methyl-2-oxopentanoate; run in the biosynthetic direction here.
RHEA:24809	RHEA:24809	dihydroxy-acid dehydratase reaction (valine branch)	Dehydration of (2R)-2,3-dihydroxy-3-methylbutanoate to 3-methyl-2-oxobutanoate, the branchpoint 2-oxo acid shared with pantothenate biosynthesis.
RHEA:24813	RHEA:24813	branched-chain aminotransferase reaction (valine)	Reversible transamination between L-valine and 3-methyl-2-oxobutanoate; run in the biosynthetic direction here. The same enzyme catalyses the leucine and isoleucine transaminations, which is why the discriminating evidence for each amino acid is its 2-oxo acid supply rather than this step.
RHEA:25152	RHEA:25152	aromatic aminotransferase reaction (phenylalanine)	Reversible transamination between L-phenylalanine and 3-phenylpyruvate; run in the biosynthetic direction here.
RHEA:25315	RHEA:25315	N-acetyldiaminopimelate aminotransferase reaction	Transamination of the acetylated oxo acid to N-acetyl-LL-diaminopimelate.
RHEA:27654	RHEA:27654	acetohydroxyacid synthase reaction (isoleucine branch)	Condensation of 2-oxobutanoate with pyruvate to (S)-2-ethyl-2-hydroxy-3-oxobutanoate, the isoleucine-specific reaction of the same acetohydroxyacid synthase that condenses two pyruvates in the valine branch.
RHEA:27694	RHEA:27694	dihydroxy-acid dehydratase reaction (isoleucine branch)	Dehydration of (2R,3R)-2,3-dihydroxy-3-methylpentanoate to (S)-3-methyl-2-oxopentanoate.
RHEA:32271	RHEA:32271	3-isopropylmalate dehydrogenase reaction	Oxidative decarboxylation of (2R,3S)-3-isopropylmalate to 4-methyl-2-oxopentanoate. Rhea states the overall reaction, so the spontaneous decarboxylation of the oxosuccinate intermediate is inside it.
RHEA:32715	RHEA:32715	3-methylmalate dehydrogenase reaction	Oxidative decarboxylation of (2R,3S)-3-methylmalate to 2-oxobutanoate, catalysed by the isopropylmalate dehydrogenase.
RHEA:33799	RHEA:33799	histidinol dehydrogenase reaction, first oxidation	NAD-dependent oxidation of L-histidinol to L-histidinal.
RHEA:33803	RHEA:33803	histidinol dehydrogenase reaction, second oxidation	NAD-dependent oxidation of L-histidinal to L-histidine.
RHEA:34171	RHEA:34171	4-hydroxy-tetrahydrodipicolinate synthase reaction	Condensation of L-aspartate 4-semialdehyde with pyruvate, the committed step of the diaminopimelate pathway.
RHEA:35331	RHEA:35331	4-hydroxy-tetrahydrodipicolinate reductase reaction (NADPH)	Reduction and dehydration of (2S,4S)-4-hydroxy-tetrahydrodipicolinate to tetrahydrodipicolinate. The NADH-linked variant RHEA:35323 is the same enzyme with the same orthology group, so it is not curated as a separate route: it would multiply the four diaminopimelate routes without adding any genomic discrimination.
RHEA:42424	RHEA:42424	2-methylmalate dehydratase reaction, hydration half	Hydration of 2-methylmaleate to (2R,3S)-3-methylmalate.
RHEA:10152	RHEA:10152	carbamate kinase reaction	Interconversion of carbamoyl phosphate with ammonium and hydrogencarbonate; run in the phosphate-donating direction by the arginine deiminase pathway, where it is the substrate-level ATP-generating step.
RHEA:10680	RHEA:10680	proline racemase reaction	Racemisation of L-proline to D-proline, which is the substrate the proline reductase requires.
RHEA:12232	RHEA:12232	glycine reductase reaction	Reductive deamination of glycine to acetyl phosphate and ammonium by the selenoprotein glycine reductase complex; run in the glycine-consuming direction, which is the Stickland reductive half-reaction.
RHEA:12737	RHEA:12737	D-proline reductase reaction	Reductive ring opening of D-proline to 5-aminopentanoate by the selenoprotein proline reductase; run in the proline-consuming direction, which is the Stickland reductive half-reaction.
RHEA:13101	RHEA:13101	urocanate hydratase reaction	Hydration of trans-urocanate to 4-imidazolone-5-propanoate; run in the hydration direction for catabolism.
RHEA:17785	RHEA:17785	glutamate decarboxylase reaction	PLP-dependent decarboxylation of L-glutamate to 4-aminobutanoate, consuming a cytoplasmic proton. The reaction is the core of the glutamate-dependent acid resistance system and the source of microbial GABA.
RHEA:19169	RHEA:19169	serine ammonia-lyase reaction	PLP- or iron-sulfur-dependent deamination of L-serine to pyruvate and ammonium, the step that makes serine a fermentable substrate rather than only a biosynthetic product.
RHEA:19553	RHEA:19553	tryptophanase reaction	Beta-elimination of L-tryptophan to indole, pyruvate and ammonium. One PLP enzyme, one orthology group, and the basis of the classical clinical indole test.
RHEA:19597	RHEA:19597	arginine deiminase reaction	Hydrolytic deimination of L-arginine to L-citrulline and ammonium, the committed step of the arginine deiminase pathway.
RHEA:21232	RHEA:21232	histidine ammonia-lyase reaction	Non-oxidative deamination of L-histidine to trans-urocanate, the committed step of histidine catabolism.
RHEA:22108	RHEA:22108	threonine ammonia-lyase reaction	PLP-dependent deamination of L-threonine to 2-oxobutanoate and ammonium. The chemistry is catabolic wherever it runs; the product is also the precursor isoleucine biosynthesis requires, which is why the two capabilities compose across modes rather than duplicating the reaction.
RHEA:22492	RHEA:22492	formimidoylglutamase reaction	Hydrolysis of N-formimidoyl-L-glutamate to formamide and L-glutamate, the route that releases the carbon skeleton without a folate-dependent transfer.
RHEA:23660	RHEA:23660	imidazolonepropionase reaction	Ring hydrolysis to N-formimidoyl-L-glutamate.
RHEA:23800	RHEA:23800	methionine gamma-lyase reaction	Gamma-elimination of L-methionine to methanethiol, 2-oxobutanoate and ammonium. The enzyme also accepts homocysteine and cysteine; the GIFT is named for methionine and this marker is deliberately not used as evidence for any cysteine trait.
RHEA:24931	RHEA:24931	cysteine desulfidase reaction	Beta-elimination of L-cysteine to hydrogen sulfide, pyruvate and ammonium. Rhea files the same equation under the promiscuous cystathionine gamma-lyase, which is why only the dedicated desulfidase orthology groups are accepted as evidence here.
